Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Serbia,SRB,82471.42823,60568.40216,63190.29773,55198.86327,61517.8547,62973.06836,63354.39643,61655.12499,62153.38565,62883.94612,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Kazakhstan,KAZ,298754.678,162133.7495,335321.5973,286216.0566,267016.6944,276330.7622,299615.3021,299700.6771,286967.6223,294805.9457,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Malawi,MWI,3264.095627,3963.605916,7294.602924,7791.483427,8204.93103,8444.877316,9125.424201,10530.26139,11765.31867,11982.42756,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,High income,HIC,14254589.711564,15731562.300195,15502529.283014,15373837.808128,15347386.288731,15234951.649707,15229361.061655,15298924.515073,14961014.958146,13880327.541665,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Heavily indebted poor countries (HIPC),HPC,550851.863641,749614.452643,1071607.7593,1096511.051231,1131089.367982,1168393.648555,1183092.372723,1212185.478427,1255351.917661,1277857.319337,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Latin America & Caribbean,LCN,2068180.723527,2608217.45067,3398613.894441,3431894.289833,3423584.388006,3384707.355742,3354684.065662,3266692.759992,3257187.34759,3064545.682364,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Yemen, Rep.",YEM,16874.58611,34697.45972,48946.15557,47636.41181,27895.14175,22624.69053,23058.36661,25020.13788,25926.56546,24391.15073,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Late-demographic dividend,LTE,9266363.623355,9793161.465114,18523958.144559,18600054.351155,18475522.976235,18493546.557953,18860655.907888,19505538.52782,19859849.803155,19931199.648137,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Least developed countries: UN classification,LDC,726933.955157,938938.173818,1368108.118355,1404989.269678,1435538.965051,1486266.938942,1528446.709897,1566834.675167,1603080.153508,1618511.950459,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,India,IND,1237962.799,1719664.722,2900894.985,3083573.891,3104049.558,3147642.844,3269577.732,3436071.569,3412419.303,3200820.626,..,..
