Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Armenia,ARM,2.12,7.16,6.77,7.08,10.74,13.15,12.56,11.13,10.34,8.38,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,China,CHN,33.91,29.63,11.47,11.91,12.18,12.6,13.14,13.55,14.33,14.81,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Pakistan,PAK,57.5,51.05,48.13,47.22,45.88,43.69,42.1,43.36,45.88,46.6,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,United States,USA,4.18,5.43,9.08,9.22,9.03,9.46,9.92,10.12,10.42,11.16,..,..
