,Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
1,Forest area (% of land area),AG.LND.FRST.ZS,China,CHN,16.73800655,18.85347276,21.9872244,22.19352292,22.39982144,22.63049793,22.83070681,23.03091218,23.23111754,23.4313229,23.63152827,..
1,Arable land (% of land area),AG.LND.ARBL.ZS,China,CHN,13.18669614,12.6797199,12.39590802,12.31364527,12.23564319,12.08450102,11.93335755,11.78221407,11.62756266,11.60625934,11.59560768,..
1,GDP (current US$),NY.GDP.MKTP.CD,China,CHN,360858000000.0,1211330000000.0,9570470000000.0,10475600000000.0,11061600000000.0,11233300000000.0,12310500000000.0,13894900000000.0,14280000000000.0,14687700000000.0,17820500000000.0,17963200000000.0
1,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,China,CHN,3238858.656,4567274.433,11861843.52,11940737.42,11804696.79,11773340.79,12014198.87,12524335.16,12732245.13,12942868.34,..,..
1,Population growth (annual %),SP.POP.GROW,China,CHN,1.46730321087928,0.787956592953992,0.666072977690069,0.630326389541893,0.581456146657648,0.573050906069647,0.605245013482969,0.467672053461959,0.354740890170827,0.238040870229883,0.0892522000412526,-0.0130995013525784
1,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,China,CHN,33.91,29.63,11.47,11.91,12.18,12.6,13.14,13.55,14.33,14.81,..,..
